国家和地区,确诊人数,死亡病例,治愈病例
美国,39668541,654696,30826478
印度,32737939,438210,30974748
巴西,20741815,579308,17771228
法国,6827146,114506,415111
俄罗斯,6785465,178457,5629581
英国,6762904,132760,24692
土耳其,6329519,55958,5478185
阿根廷,5173531,111383,4615834
伊朗,4926964,106482,3467765
哥伦比亚,4905258,124811,4615354
西班牙,4831809,84000,4258193
意大利,4530246,129093,4144608
印度尼西亚,4073831,131923,2947646
德国,3940212,92146,3659410
墨西哥,3335700,258165,2270427
波兰,2888231,75340,2654097
南非,2764931,81595,2258603
乌克兰,2381553,56900,2259446
秘鲁,2149591,198263,1720665
荷兰,1971713,18342,28771
菲律宾,1954023,33109,1627816
伊拉克,1874435,20699,1502221
马来西亚,1706089,16087,976626
捷克,1678862,30402,1641485
智利,1637829,36885,1575377
加拿大,1497283,26954,1406063
孟加拉,1493537,26015,1156943
日本,1460303,15969,858305
比利时,1177909,25360,0
泰国,1174091,11143,26873
巴基斯坦,1156281,25670,952616
瑞典,1123413,14685,0
罗马尼亚,1096753,34528,1048215
以色列,1051609,6989,855703
葡萄牙,1034947,17721,912620
哈萨克斯坦,854842,12655,555079
摩洛哥,853373,12437,582692
匈牙利,811706,30057,750955
约旦,795161,10383,753006
瑞士,770765,10965,317600
尼泊尔,759222,10714,663663
塞尔维亚,757617,7266,0
阿联酋,716381,2038,665593
奥地利,685956,10781,644840
突尼斯,660587,23369,530545
古巴,640438,5144,382141
黎巴嫩,600451,8044,537653
希腊,581315,13581,93764
沙特阿拉伯,543318,8512,507374
格鲁吉亚,543118,7251,393453
厄瓜多尔,501140,32232,443880
玻利维亚,490056,18411,411830
白俄罗斯,479306,3757,444613
危地马拉,465059,11858,331374
巴拉圭,458334,15723,423964
巴拿马,456666,7046,420113
哥斯达黎加,455784,5431,334759
保加利亚,451599,18731,398721
越南,435265,10749,54332
斯里兰卡,426169,8775,286365
阿塞拜疆,417996,5553,333694
科威特,409552,2417,388880
斯洛伐克,394742,12548,255300
缅甸,392300,15183,230308
乌拉圭,384692,6029,374203
克罗地亚,373191,8325,355000
多米尼加,349859,4007,324861
爱尔兰,349773,5092,23364
丹麦,345421,2582,308171
巴勒斯坦,337405,3672,312320
洪都拉斯,335398,8832,102384
委内瑞拉,333125,3998,294607
埃塞俄比亚,306117,4644,264008
利比亚,305793,4184,196714
阿曼,302132,4057,282763
立陶宛,297777,4539,270037
埃及,287899,16721,232179
巴林,272341,1388,267220
摩尔多瓦,266988,6394,252421
斯洛文尼亚,266514,4448,254042
韩国,250051,2284,180719
亚美尼亚,241336,4823,220617
肯尼亚,234952,4710,191188
卡塔尔,232366,602,224384
波黑,212306,9785,190492
蒙古,211080,931,169851
赞比亚,206051,3596,190279
阿尔及利亚,195162,5209,118409
尼日利亚,191345,2454,165208
吉尔吉斯斯坦,175437,2518,152402
北马其顿,175330,5869,150470
挪威,157040,814,17998
乌兹别克斯坦,154844,1070,127309
博茨瓦纳,153793,2213,96964
阿富汗,152960,7101,82586
莫桑比克,145863,1851,100912
